	Tissue Type	CD4+ T cell marker
0	Blood	ALDH1A1
1	Blood	CCR6
2	Blood	CCR7
4	Blood	CD27
8	Blood	CD3D
9	Blood	CD3D
10	Blood	CD3E
11	Blood	CD4
12	Blood	CD4
14	Blood	CD79A
16	Blood	CDKN2A
18	Blood	EGFR
19	Blood	ERAP1
20	Blood	ERAP2
21	Blood	FOXO3
31	Blood	IDH1
34	Blood	IL32
35	Blood	IL7R
36	Blood	IL7R
37	Blood	IRF8
44	Blood	LRRN3
45	Blood	LTB
46	Blood	MEIS2
47	Blood	RNF43
49	Blood	SELL
52	Blood	TNFSF13
54	Blood	TRIM21
56	Blood	ZFP36
57	Blood	ZFP36L1
58	Blood	ZNRF3
59	Peripheral blood	ACTB
60	Peripheral blood	ACTG1
61	Peripheral blood	CCR7
64	Peripheral blood	CD27
65	Peripheral blood	CD28
67	Peripheral blood	CD3D
68	Peripheral blood	CD3E
69	Peripheral blood	CD3G
70	Peripheral blood	CD4
71	Peripheral blood	CD4
72	Peripheral blood	CD44
74	Peripheral blood	CTLA4
76	Peripheral blood	FOXP3
78	Peripheral blood	IL12RB1
79	Peripheral blood	IL2RA
80	Peripheral blood	IL4R
81	Peripheral blood	IL7R
82	Peripheral blood	LTB
83	Peripheral blood	MYO1G
84	Peripheral blood	PFN1
85	Peripheral blood	RORA
86	Peripheral blood	S100A10
87	Peripheral blood	S100A11
88	Peripheral blood	S100A4
89	Peripheral blood	SELL
90	Peripheral blood	STAT4
91	Peripheral blood	STAT6
92	Peripheral blood	TCF7
93	Peripheral blood	TNFAIP3
94	Peripheral blood	TUBB
95	Umbilical cord blood	FOXP3
96	Umbilical cord blood	IKZF2
97	Umbilical cord blood	TIGIT
98	Umbilical cord blood	TNFRSF9
99	Blood vessel	CTLA4
100	Blood vessel	FOXP3
101	Blood vessel	IL2RA
102	Bone marrow	CD3E
103	Bone marrow	CD4
104	Brain	ACO2
105	Brain	ASCC2
106	Brain	C1orf106
107	Brain	C5orf56
108	Brain	CBLL1
110	Brain	CD3D
111	Brain	CD3E
112	Brain	CD3G
113	Brain	CD4
115	Brain	CD6
116	Brain	CDH3
117	Brain	CEBPG
118	Brain	COG5
119	Brain	CUL2
120	Brain	DAG1
121	Brain	DLD
122	Brain	DOCK7
123	Brain	DUS4L
124	Brain	FAM213A
125	Brain	FNDC3A
126	Brain	FOXD1
127	Brain	GDF9
128	Brain	GNPDA1
129	Brain	HOXA-AS2
130	Brain	HOXA-AS3
131	Brain	HOXA3
132	Brain	HOXA5
133	Brain	IL7R
135	Colon	CCR6
136	Esophagus	CD3E
137	Esophagus	CD4
138	Esophagus	CD8A
139	Eye	CD3G
140	Eye	CD4
142	Duodenum	CD4
145	Intestine	CD4
148	Rectum	FOXP3
154	Kidney	CD3E
155	Kidney	CD4
164	Liver	CCR7
166	Liver	CD3D
167	Liver	CD4
170	Liver	IL7R
171	Liver	LTB
172	Liver	MAL
173	Liver	TNFRSF4
174	Bronchoalveolar system	CD3E
175	Bronchoalveolar system	CD4
176	Bronchoalveolar system	TRAC
177	Lung	CCR7
178	Lung	CD3E
179	Lung	CD4
180	Lung	CD8A
181	Lung	FOXP3
182	Lung	IL2RA
183	Lung	IL7R
185	Olfactory neuroepithelium	CD3D
186	Olfactory neuroepithelium	CD3E
187	Olfactory neuroepithelium	CD4
188	Olfactory neuroepithelium	IL7R
189	Oviduct	CD3E
190	Periodontium	CD4
191	Skin	ABCG2
192	Skin	AFF3
193	Skin	ANXA7
194	Skin	BCL2
195	Skin	CCDC66
196	Skin	CD3E
197	Skin	CD4
198	Skin	CD69
199	Skin	ERAP1
200	Skin	ERAP2
201	Skin	FYCO1
202	Skin	GIPR
203	Skin	GJB2
204	Skin	HERC5
205	Skin	IFIH1
206	Skin	IL23R
207	Skin	LEKR1
208	Skin	LNPEP
209	Skin	METTL1
210	Skin	RASGRP1
211	Skin	STAT3
212	Skin	SYTL2
214	Skin	UBLCP1
216	Spleen	CD3D
217	Spleen	CD3E
218	Spleen	CD4
219	Spleen	CD8A
220	Spleen	IL32
221	Spleen	IL7R
222	Spleen	TRAC
223	Thymus	CD4
224	Thymus	CD4
225	Thymus	CD40LG
227	Tonsil	CD69
228	Tonsil	CXCR5
234	Undefined	CD2
236	Undefined	CD27
238	Undefined	CD28
241	Undefined	CD3D
242	Undefined	CD3E
243	Undefined	CD4
244	Undefined	CD4
245	Undefined	CD4
248	Undefined	CD5
250	Undefined	CD69
251	Undefined	CD7
252	Undefined	CTLA4
253	Undefined	FOXP3
254	Undefined	IL2RA
255	Undefined	IL7R
258	Ectocervix	CD3D
259	Ectocervix	CD4
